model,dataset,split,rmse,mae,r2,inversed,model_path
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=20)",hot,val,111.5915,69.0106,0.637,False,../models/dt_10_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=30, min_samples_leaf=20)",hot,test,110.6388,69.9017,0.6483,False,../models/dt_10_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=1)",hot,train,37.6452,18.3643,0.9585,False,../models/dt_20_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=1)",hot,val,113.1243,59.6175,0.6269,False,../models/dt_20_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=1)",hot,test,119.0134,62.372,0.593,False,../models/dt_20_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=5)",hot,train,70.7032,42.5606,0.8537,False,../models/dt_20_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=5)",hot,val,109.4299,65.1258,0.6509,False,../models/dt_20_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=5)",hot,test,111.0295,66.6933,0.6458,False,../models/dt_20_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=10)",hot,train,84.0907,51.4046,0.7931,False,../models/dt_20_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=10)",hot,val,108.765,65.7918,0.6551,False,../models/dt_20_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=10)",hot,test,108.492,67.1685,0.6618,False,../models/dt_20_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=20)",hot,train,93.8117,58.0192,0.7424,False,../models/dt_20_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=20)",hot,val,109.0343,66.7686,0.6534,False,../models/dt_20_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=2, min_samples_leaf=20)",hot,test,107.8821,67.1265,0.6656,False,../models/dt_20_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=1)",hot,train,58.8519,35.0217,0.8986,False,../models/dt_20_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=1)",hot,val,110.7204,63.1831,0.6426,False,../models/dt_20_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=1)",hot,test,113.2475,64.8577,0.6315,False,../models/dt_20_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=5)",hot,train,70.7035,42.559,0.8537,False,../models/dt_20_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=5)",hot,val,109.2856,65.0934,0.6518,False,../models/dt_20_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=5)",hot,test,110.8975,66.5946,0.6466,False,../models/dt_20_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=10)",hot,train,84.0907,51.4046,0.7931,False,../models/dt_20_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=10)",hot,val,108.765,65.7918,0.6551,False,../models/dt_20_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=10)",hot,test,108.492,67.1685,0.6618,False,../models/dt_20_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=20)",hot,train,93.8117,58.0192,0.7424,False,../models/dt_20_depth_10_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=20)",hot,val,109.0343,66.7686,0.6534,False,../models/dt_20_depth_10_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=10, min_samples_leaf=20)",hot,test,107.8821,67.1265,0.6656,False,../models/dt_20_depth_10_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=20, min_samples_split=20, min_samples_leaf=1)",hot,train,72.4805,44.177,0.8463,False,../models/dt_20_depth_20_minsplit_1_minleaf_hot.pkl
